               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095219,            0.028312,            0.051445,             0.34851,            0.050539,           0.0060921,           0.0012026,            0.083169,             0.02116,            0.048095,             0.00045,             0.00045,             0.09595
                   1,            0.079271,            0.029302,            0.045054,             0.39076,            0.065998,            0.024253,           0.0058261,            0.076474,            0.019833,            0.042769,          0.00090801,          0.00090801,            0.091808
                   2,            0.071593,            0.026474,            0.039472,             0.21142,             0.31504,            0.065918,            0.017716,             0.06795,            0.019229,             0.03749,            0.001358,            0.001358,            0.087658
                   3,            0.067314,            0.024098,            0.034251,             0.33685,             0.24236,             0.13938,            0.039119,            0.062452,            0.016897,            0.032062,           0.0017942,           0.0017942,            0.083494
                   4,            0.064542,            0.022224,            0.028927,             0.37298,             0.25755,             0.16964,            0.054853,            0.065465,            0.016832,            0.029901,           0.0022108,           0.0022108,            0.079311
                   5,              0.0616,            0.021654,            0.024117,             0.47162,             0.22776,             0.18997,            0.065818,            0.061796,             0.01627,            0.031582,           0.0026026,           0.0026026,            0.075103
                   6,            0.059322,            0.020578,            0.021451,             0.50011,             0.32482,             0.28178,            0.094236,            0.059659,            0.015702,            0.024725,           0.0029648,           0.0029648,            0.070865
                   7,            0.057984,            0.019691,            0.019008,             0.52111,             0.30712,             0.27048,            0.098001,            0.059641,            0.015799,            0.025321,           0.0032929,           0.0032929,            0.066593
                   8,            0.056074,            0.019927,            0.017922,             0.50523,             0.31999,             0.25997,            0.086642,            0.059991,            0.016008,            0.026158,           0.0035834,           0.0035834,            0.062283
                   9,            0.054598,            0.018671,            0.016349,             0.54429,             0.30771,             0.29813,              0.1097,            0.058029,            0.015154,            0.024444,           0.0038332,           0.0038332,            0.057933
                  10,            0.053082,            0.019138,            0.015929,             0.49145,             0.30458,             0.26497,             0.10315,             0.05869,            0.015945,            0.027378,             0.00404,             0.00404,             0.05354
                  11,            0.052163,            0.018666,            0.014979,              0.6156,             0.30153,             0.31124,             0.11131,             0.05859,            0.016106,            0.027421,           0.0042024,           0.0042024,            0.049102
                  12,            0.050755,            0.018481,            0.013404,             0.56683,             0.26459,             0.27528,             0.10303,            0.058038,            0.016283,            0.027908,           0.0043199,           0.0043199,             0.04462
                  13,            0.049664,            0.017848,             0.01279,             0.41765,             0.37498,             0.35812,             0.13193,            0.056786,            0.015617,            0.025304,           0.0043927,           0.0043927,            0.040093
                  14,            0.048564,             0.01814,            0.012911,             0.52647,             0.31355,              0.2861,             0.10608,            0.059368,            0.016212,            0.027074,           0.0044221,           0.0044221,            0.035522
                  15,            0.048015,            0.017556,            0.012024,             0.58472,             0.33516,             0.30334,             0.10756,            0.056243,            0.016033,            0.027577,             0.00441,             0.00441,             0.03091
                  16,            0.046563,            0.017759,            0.011334,             0.56869,             0.29536,             0.28836,              0.1022,            0.058449,            0.016164,            0.034064,           0.0043595,           0.0043595,            0.026259
                  17,            0.045573,            0.017304,            0.011141,             0.53839,             0.29592,             0.29062,              0.1083,             0.05799,            0.016399,            0.028864,           0.0042742,           0.0042742,            0.021574
                  18,            0.045058,             0.01729,            0.010704,             0.39812,              0.3589,             0.33527,             0.12655,            0.058374,            0.015944,            0.031145,           0.0041589,           0.0041589,            0.016859
                  19,            0.044418,            0.017483,             0.01045,             0.40256,             0.48336,              0.3885,             0.13941,            0.057001,             0.01633,            0.030219,           0.0040188,           0.0040188,            0.012119
                  20,            0.043388,            0.016895,            0.009897,             0.47412,             0.37044,             0.28537,              0.1013,            0.058743,            0.016175,            0.027861,             0.00386,             0.00386,             0.00736
                  21,            0.043061,            0.016878,           0.0096515,             0.55839,             0.31503,             0.29602,             0.10702,            0.058493,            0.016142,            0.028727,           0.0036489,           0.0036489,           0.0036489
                  22,             0.04269,            0.016677,           0.0096615,             0.52464,             0.33532,             0.28416,             0.10844,            0.057515,            0.017291,            0.027407,           0.0036489,           0.0036489,           0.0036489
                  23,            0.041335,            0.016732,           0.0088094,             0.59027,             0.28393,             0.28631,             0.10028,            0.059482,            0.016614,             0.03292,           0.0033235,           0.0033235,           0.0033235
                  24,            0.040522,            0.016246,           0.0087282,             0.31152,             0.34201,             0.27772,             0.10365,            0.057024,            0.016507,            0.029956,           0.0030274,           0.0030274,           0.0030274
                  25,            0.038741,            0.015749,           0.0075371,             0.56972,             0.31752,             0.31986,             0.12848,            0.056314,             0.01655,            0.031939,           0.0027639,           0.0027639,           0.0027639
                  26,            0.037648,            0.015399,            0.007103,             0.55704,             0.34487,             0.31395,              0.1229,             0.05609,            0.016659,            0.032133,           0.0025359,           0.0025359,           0.0025359
                  27,            0.036375,            0.014427,           0.0068624,             0.47608,             0.30732,             0.28749,             0.11272,            0.058297,            0.018307,               0.032,           0.0023458,           0.0023458,           0.0023458
                  28,            0.036228,             0.01452,           0.0065653,             0.57264,             0.34217,             0.31116,             0.11608,            0.057774,            0.016978,            0.032464,           0.0021958,           0.0021958,           0.0021958
                  29,            0.035204,            0.014323,           0.0063262,             0.54097,             0.33246,               0.298,              0.1204,            0.058159,            0.017144,            0.032128,           0.0020874,           0.0020874,           0.0020874
